ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);108;112
משיחי;(2, [40, 300, 10, 8, 10], 368);194;150
משיח;(3, [40, 300, 10, 8], 358);1299;1313
מיהמשיח;(4, [40, 10, 5, 40, 300, 10, 8], 413);2;5
מימשיחי;(5, [40, 10, 40, 300, 10, 8, 10], 418);1;1
מימשיח;(6, [40, 10, 40, 300, 10, 8], 408);9;11
