ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);34;27
משיחי;(2, [40, 300, 10, 8, 10], 368);58;37
משיח;(3, [40, 300, 10, 8], 358);366;332
מיהמשיח;(4, [40, 10, 5, 40, 300, 10, 8], 413);0;1
מימשיחי;(5, [40, 10, 40, 300, 10, 8, 10], 418);1;0
מימשיח;(6, [40, 10, 40, 300, 10, 8], 408);3;3
