ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);27;35
משיחי;(2, [40, 300, 10, 8, 10], 368);55;60
משיח;(3, [40, 300, 10, 8], 358);386;438
מיהמשיח;(4, [40, 10, 5, 40, 300, 10, 8], 413);1;1
מימשיחי;(5, [40, 10, 40, 300, 10, 8, 10], 418);0;1
מימשיח;(6, [40, 10, 40, 300, 10, 8], 408);4;5
